adm1,adm2,adm3,adm4,provinsi,kota,kecamatan,kelurahan
31,31.01,31.01.01,31.01.01.1001,DKI JAKARTA,KAB. ADM. KEP. SERIBU,Kepulauan Seribu Utara,Pulau Panggang
31,31.01,31.01.01,31.01.01.1002,DKI JAKARTA,KAB. ADM. KEP. SERIBU,Kepulauan Seribu Utara,Pulau Kelapa
31,31.01,31.01.01,31.01.01.1003,DKI JAKARTA,KAB. ADM. KEP. SERIBU,Kepulauan Seribu Utara,Pulau Harapan
31,31.01,31.01.02,31.01.02.1001,DKI JAKARTA,KAB. ADM. KEP. SERIBU,Kepulauan Seribu Selatan,Pulau Untung Jawa
31,31.01,31.01.02,31.01.02.1002,DKI JAKARTA,KAB. ADM. KEP. SERIBU,Kepulauan Seribu Selatan,Pulau Tidung
31,31.01,31.01.02,31.01.02.1003,DKI JAKARTA,KAB. ADM. KEP. SERIBU,Kepulauan Seribu Selatan,Pulau Pari
31,31.71,31.71.01,31.71.01.1001,DKI JAKARTA,KOTA ADM. JAKARTA PUSAT,Gambir,Gambir
31,31.71,31.71.01,31.71.01.1002,DKI JAKARTA,KOTA ADM. JAKARTA PUSAT,Gambir,Cideng
31,31.71,31.71.01,31.71.01.1003,DKI JAKARTA,KOTA ADM. JAKARTA PUSAT,Gambir,Petojo Utara
31,31.71,31.71.01,31.71.01.1004,DKI JAKARTA,KOTA ADM. JAKARTA PUSAT,Gambir,Petojo Selatan
31,31.71,31.71.01,31.71.01.1005,DKI JAKARTA,KOTA ADM. JAKARTA PUSAT,Gambir,Kebon Kelapa
31,31.71,31.71.01,31.71.01.1006,DKI JAKARTA,KOTA ADM. JAKARTA PUSAT,Gambir,Duri Pulo
31,31.71,31.71.02,31.71.02.1001,DKI JAKARTA,KOTA ADM. JAKARTA PUSAT,Sawah Besar,Pasar Baru
31,31.71,31.71.02,31.71.02.1002,DKI JAKARTA,KOTA ADM. JAKARTA PUSAT,Sawah Besar,Karang Anyar
31,31.71,31.71.02,31.71.02.1003,DKI JAKARTA,KOTA ADM. JAKARTA PUSAT,Sawah Besar,Kartini
