adm4,local_datetime,subdistrict_name,t,hu,ws,wd,tcc,visibility,weather_desc_en,rain_level,sea_level,tide_height,flood
31.73.05.1001,2024-01-01 00:00:00,pekojan,27.876410777723834,76.81148778151098,19.537685216160188,E,52.08304812607668,5.35990047235693,Rain,1.4379737293692465,2.3280074383768405,0.50999030193191,0
31.73.04.1007,2024-01-01 02:00:00,joglo,34.952219784129014,74.90026405245519,29.230005026713695,N,61.96073147903785,5.608808302181637,Clear,0.48964471118423725,1.8715025007841135,1.8220366718921952,0
31.73.01.1005,2024-01-01 04:00:00,duri selatan,28.155425093671294,94.11368505871424,1.9395856847520463,NW,67.4755764376153,7.470308536200086,Heavy Rain,2.5173042333334124,1.5805956314989071,1.2559095750247415,0
31.73.04.1002,2024-01-01 06:00:00,sukabumi selatan,29.980271334048094,73.19637907576741,21.09323186668034,SW,64.71038338155324,5.311918594210913,Light Rain,0.8011622275379445,1.1543491026278665,0.2785000863013467,0
31.73.05.1005,2024-01-01 08:00:00,rawa buaya,31.712668522250844,94.53673798477601,14.206298510883563,N,3.6160773552938963,3.8969717810451243,Cloudy,0.3106346745856803,0.21215972939714534,1.6153456796359547,0
31.73.05.1002,2024-01-01 10:00:00,meruya selatan,33.51797425198039,70.22241055440374,8.5426661184258,SW,27.694597181837253,6.292799640415167,Clear,2.268226033384706,2.595501614881538,1.829479388784565,1
31.73.01.1005,2024-01-01 12:00:00,kedaung kali angke,26.814307022607963,88.08649391297386,-1.300383669075357,NE,63.1585067536405,4.86779761742318,Light Rain,4.683399248357392,2.0210076771484133,3.328402927098276,1
31.73.04.1008,2024-01-01 14:00:00,kelapa dua,27.74094253390771,78.04616477508924,20.625774792513653,N,59.77146666803456,7.179159040586871,Light Rain,0.5566159674625755,1.2317812336724334,0.740301061455755,0
31.73.05.1001,2024-01-01 16:00:00,jembatan besi,32.58099061752325,99.64599225886163,22.900004394879026,SW,34.60142754859745,3.6550336266494123,Light Rain,2.266018902339457,1.2597667680387385,0.9777495373353641,1
31.73.01.1002,2024-01-01 18:00:00,meruya selatan,31.252617266324712,53.50459857526502,26.9282594790361,NW,73.45865196358326,3.1084860365245732,Light Rain,0.8263785449084227,0.9433263877132306,0.13108035746953695,0
31.73.04.1006,2024-01-01 20:00:00,kapuk,32.01073882645953,58.01035364606557,25.499590807782553,SW,48.16611515221399,9.114305025345047,Light Rain,4.131071079019325,1.5074235893628805,0.9043123490746411,1
31.73.04.1010,2024-01-01 22:00:00,kapuk,25.02219406396055,101.10979884002433,8.685154840476745,N,77.22651640518976,11.573119681947151,Light Rain,0.32587776651669387,0.9950348010575027,0.15217602724102908,0
